,symbol,category,product_summary,asset_class,inception_date,minimum_investment,expense_ratio,risk_level
0,VTIVX,Target-Date 2041-2045,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2043 and 2047.,Balanced,2003-10-27,1000,0.0008,Moderate to Aggressive
1,VTMSX,Small Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to small-capitalization stocks. Its unique, index-oriented approach attempts to track the benchmark, while keeping taxable gains to a minimum. One of the fund’s risks is its focus on small-cap companies, which can be a volatile segment of the market. Investors in higher tax brackets who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Domestic Stock - More Aggressive,1999-03-25,10000,0.0009,Aggressive
2,VCORX,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure predominantly to the U.S. investment-grade bond market. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities of varying yields and maturities (short-, intermediate-, and long-term issues). Using a disciplined, risk-controlled approach, the fund seeks to outperform the broad investment-grade market through security selection, sector allocation, and, to a lesser extent, duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. Since the fund invests in all major segments and maturities of the investment-grade fixed income market, investors may consider the fund as a core bond holding.",Intermediate-Term Bond,2016-03-28,3000,0.002,Conservative to Moderate
3,VBAIX,Moderate Allocation,"This index fund offers investors an easy, low-cost way to gain exposure to stocks and bonds. The fund invests roughly 60% in stocks and 40% in bonds by tracking two indexes that represent broad barometers for the U.S. equity and U.S. taxable bond markets. The fund’s broad diversification is important, because one or two holdings should not have a sizeable impact on the fund. Investors with a long-term time horizon who want growth and some income—and who are willing to accept stock and bond market volatility—may wish to consider this as a core holding in their portfolio.",Balanced,2000-12-01,5000000,0.0006,Moderate
4,VWILX,Foreign Large Growth,"The International Growth Fund focuses on non-U.S. companies with high growth potential. Created in 1981, the fund employs an aggressive approach that attempts to capitalize on global economic expansion. For example, an attractive investment opportunity could be a non-U.S. consumer-products company that is experiencing rapid earnings growth. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be more volatile than a domestic fund. Investors may wish to consider investing in this fund as a complement to an already diversified stock portfolio.",International/Global Stock,2001-08-13,50000,0.0034,Aggressive
5,VTWV,Small Value,"Invests in stocks in the Russell 2000 Value Index, a broadly diversified index predominantly made up of value stocks of small U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of small-cap value U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2010-09-20,1,0.0015,Aggressive
6,VCDAX,Consumer Discretionary,"This low-cost index fund offers exposure to the consumer discretionary sector of the U.S. equity market, which includes stocks of companies that manufacture products and provide services that consumers consider nonessential, such as retailers, restaurants, and internet and direct marketing retail companies. The fund’s main risk is its narrow scope—it invests solely in consumer discretionary stocks, which tend to be sensitive to economic cycles. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2005-07-14,100000,0.001,Aggressive
7,VGWAX,Moderate Allocation,"This fund offers exposure to U.S. and foreign stocks (about two-thirds of the portfolio) and U.S. and foreign bonds (one-third of the portfolio). The fund offers broad diversification by investing in stocks and bonds across all economic sectors. This is important because one or two holdings should not have a sizeable impact on the fund. Because it invests in U.S. and foreign stocks and investment-grade bonds, the fund is subject to both currency risk and country risk. Investors with a long-term time horizon who want growth and some income—and who are willing to accept stock and bond market volatility—may wish to consider this fund.",Global Balanced,2017-11-02,50000,0.0032,Moderate
8,VMLTX,Muni National Short,"This low-cost municipal bond fund seeks to provide income exempt from federal taxes and typically appeals to investors in higher tax brackets. The fund holds high-quality short-term municipal bonds with an average duration of approximately 2 years, a bit longer than the Short-Term Tax-Exempt Fund. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a modest level of federal tax-exempt interest income and can tolerate some income and share price risk may wish to consider this fund.",Short-Term Bond,1987-08-31,3000,0.0017,Conservative
9,VTSIX,Small Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to small-capitalization stocks. Its unique, index-oriented approach attempts to track the benchmark, while keeping taxable gains to a minimum. One of the fund’s risks is its focus on small-cap companies, which can be a volatile segment of the market. Investors in higher tax brackets who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Domestic Stock - More Aggressive,1999-04-21,5000000,0.0006,Aggressive
