,symbol,fund_return_ytd,average_annual_fund_return_for_1_year,average_annual_fund_return_for_3_year,average_annual_fund_return_for_5_year,average_annual_fund_return_for_10_year,average_annual_fund_return_since_inception,benchmark_return_ytd,average_annual_benchmark_return_for_1_year,average_annual_benchmark_return_for_3_year,average_annual_benchmark_return_for_5_year,average_annual_benchmark_return_for_10_year,average_annual_benchmark_return_since_inception
0,VTIVX,0.1385,0.0935,0.0453,0.0821,0.0759,0.0775,0.1404,0.1021,0.0483,0.0865,0.0792,0.0797
1,VTMSX,0.0285,-0.0408,0.0584,0.057,0.075,0.0978,0.0289,-0.0402,0.0585,0.0563,0.0751,0.0972
2,VCORX,0.0198,0.0151,-0.0439,0.0135,,0.0105,0.0178,0.0132,-0.0446,0.0079,0.014,0.0075
3,VBAIX,0.1231,0.0802,0.0308,0.0753,0.0739,0.0651,0.124,0.0824,0.0332,0.0786,0.0761,0.0664
4,VWILX,0.0958,0.0417,-0.0711,0.0804,0.0684,0.0726,0.1009,0.0926,0.0167,0.0506,0.0341,0.0464
5,VTWV,0.0215,-0.0456,0.0641,0.0469,0.0565,0.0852,0.0196,-0.0473,0.0647,0.0472,0.0571,0.0861
6,VCDAX,0.3102,0.1672,0.0375,0.1281,0.1183,0.1075,0.3109,0.1678,0.0382,0.1288,0.1191,0.1087
7,VGWAX,0.0855,0.0655,0.0554,0.0748,,0.0644,0.1331,0.1001,0.0346,0.0733,,0.0617
8,VMLTX,0.0291,0.0318,0.0018,0.0159,0.0139,0.0362,0.0264,0.0286,-0.0014,0.0143,0.0133,
9,VTSIX,0.0289,-0.0404,0.0587,0.0574,0.0754,0.0956,0.0289,-0.0402,0.0585,0.0563,0.0751,0.0945
10,VWELX,0.1009,0.0694,0.0469,0.0767,0.0763,0.0822,0.1439,0.0993,0.0469,0.0883,0.0851,
11,VGLT,-0.0467,-0.0678,-0.1415,-0.0189,0.0117,0.0248,-0.0511,-0.0672,-0.1416,-0.0181,0.0123,0.0255
12,VCIT,0.046,0.0376,-0.0385,0.0231,0.0266,0.0388,0.0441,0.0405,-0.0377,0.0238,0.0274,0.0398
13,VDADX,0.0995,0.0575,0.0794,0.1085,,0.1054,0.1,0.0581,0.0802,0.1094,0.1054,0.1062
14,VWNDX,0.0882,0.0472,0.1225,0.113,0.094,0.1122,0.0561,0.0136,0.0827,0.0752,0.0809,
15,VCEB,0.0448,0.0328,-0.0454,,,-0.0369,0.0424,0.0372,-0.0442,,,-0.0366
16,VASIX,0.0532,0.0329,-0.0221,0.0244,0.0295,0.0541,0.0547,0.0379,-0.02,0.0273,0.0318,0.0541
17,VBILX,0.0229,0.0142,-0.0458,0.0131,0.018,0.0391,0.0213,0.0148,-0.0456,0.0137,0.0186,0.0401
18,VFMV,0.0513,0.0121,0.074,0.0683,,0.0763,0.1961,0.1261,0.0826,0.1177,0.1119,0.1102
19,VEXRX,0.0862,0.0299,0.0169,0.0833,0.0885,0.0907,0.0701,0.0064,-0.0342,0.0662,0.0792,0.0868
20,VTCLX,0.2072,0.1363,0.0894,0.124,0.117,0.102,0.2058,0.1357,0.0872,0.1225,0.1156,0.1019
21,VCPAX,0.0285,0.0255,,,,-0.048,0.0229,0.0194,-0.0405,0.01,0.0166,-0.052
22,VGCAX,0.051,0.0404,-0.0307,0.0274,,0.0269,0.0477,0.04,-0.0365,0.0166,0.0244,0.0165
23,VSPMX,0.0704,0.011,0.0729,0.0806,0.0863,0.0963,0.071,0.0117,0.0736,0.0812,0.0869,0.097
24,VSPVX,0.1575,0.1121,0.1228,0.1058,,0.092,0.1582,0.1129,0.1237,0.1066,0.0968,0.0927
25,VFIDX,0.0436,0.0367,-0.0363,0.0195,0.0228,0.0443,0.0414,0.0376,-0.0382,0.0226,0.0263,0.0487
26,VSMAX,0.0718,0.0081,0.0374,0.0699,0.0765,0.0859,0.0708,0.0071,0.037,0.0695,0.0763,0.0854
27,VNJTX,0.049,0.0481,-0.0058,0.0258,0.0342,0.053,0.0521,0.054,0.0004,0.0291,0.0342,
28,VMNIX,0.1072,0.1399,0.1554,0.0451,0.0301,0.0309,0.0477,0.0512,0.0209,0.0186,0.012,0.0184
29,VICSX,0.0428,0.0364,-0.0389,0.0221,0.0263,0.0377,0.0441,0.0405,-0.0377,0.0238,0.0274,0.0387
30,BNDX,0.0538,0.0243,-0.0339,0.0051,0.0203,0.02,0.0537,0.0274,-0.0332,0.0061,0.0221,0.0217
31,VUSTX,-0.0487,-0.0695,-0.1418,-0.0189,0.0113,0.0594,-0.0511,-0.0672,-0.1416,-0.0181,0.0124,0.0625
32,VEXPX,0.0852,0.0288,0.0158,0.0822,0.0872,0.0926,0.0701,0.0064,-0.0342,0.0662,0.0792,
33,VMBIX,0.0077,0.0038,-0.0408,-0.0028,0.0082,0.0076,0.0096,0.0054,-0.0394,-0.0015,0.0091,0.0085
34,VFIFX,0.1439,0.0975,0.0474,0.0835,0.0766,0.0725,0.1462,0.1065,0.0504,0.088,0.08,0.0748
35,VEMBX,0.0865,0.0881,-0.0161,0.0495,,0.0582,0.0607,0.0642,-0.0444,0.01,0.0279,0.0205
36,VMIAX,0.0745,0.0166,0.0779,0.1041,0.0821,0.086,0.0754,0.0176,0.0788,0.1053,0.0829,0.0872
