,symbol,sector,allocation
0,VTMSX,Communication Services,0.03
1,VTMSX,Consumer Discretionary,0.14
2,VTMSX,Consumer Staples,0.051
3,VTMSX,Energy,0.054
4,VTMSX,Financials,0.182
5,VTMSX,Health Care,0.102
6,VTMSX,Industrials,0.173
7,VTMSX,Information Technology,0.12
8,VTMSX,Materials,0.051
9,VTMSX,Real Estate,0.077
10,VTMSX,Utilities,0.02
11,VBAIX,Basic Materials,0.02
12,VBAIX,Consumer Discretionary,0.141
13,VBAIX,Consumer Staples,0.052
14,VBAIX,Energy,0.048
15,VBAIX,Financials,0.105
16,VBAIX,Health Care,0.125
17,VBAIX,Industrials,0.128
18,VBAIX,Real Estate,0.028
19,VBAIX,Technology,0.303
20,VBAIX,Telecommunications,0.022
21,VBAIX,Utilities,0.028
22,VTWV,Basic Materials,0.043
23,VTWV,Consumer Discretionary,0.132
24,VTWV,Consumer Staples,0.027
25,VTWV,Energy,0.112
26,VTWV,Financials,0.25
27,VTWV,Health Care,0.079
28,VTWV,Industrials,0.146
29,VTWV,Real Estate,0.107
30,VTWV,Technology,0.051
31,VTWV,Telecommunications,0.012
32,VTWV,Utilities,0.041
33,VCDAX,Apparel Retail,0.042
34,VCDAX,"Apparel, Accessories & Luxury Goods",0.023
35,VCDAX,Automobile Manufacturers,0.155
36,VCDAX,Automotive Parts & Equipment,0.021
37,VCDAX,Automotive Retail,0.038
38,VCDAX,Broadline Retail,0.264
39,VCDAX,Casinos & Gaming,0.021
40,VCDAX,Computer & Electronics Retail,0.005
41,VCDAX,Consumer Electronics,0.004
42,VCDAX,Distributors,0.01
43,VCDAX,Education Services,0.008
44,VCDAX,Footwear,0.037
45,VCDAX,Home Furnishings,0.004
46,VCDAX,Home Improvement Retail,0.094
47,VCDAX,Homebuilding,0.035
48,VCDAX,Homefurnishing Retail,0.005
49,VCDAX,"Hotels, Resorts & Cruise Lines",0.076
50,VCDAX,Household Appliances,0.003
51,VCDAX,Housewares & Specialties,0.001
52,VCDAX,Leisure Facilities,0.005
53,VCDAX,Leisure Products,0.01
54,VCDAX,Motorcycle Manufacturers,0.001
55,VCDAX,Other Specialty Retail,0.021
56,VCDAX,Restaurants,0.113
57,VCDAX,Specialized Consumer Services,0.006
58,VCDAX,Tires & Rubber,0.001
59,VGWAX,Communication Services,0.051
60,VGWAX,Consumer Discretionary,0.068
61,VGWAX,Consumer Staples,0.063
62,VGWAX,Energy,0.059
63,VGWAX,Financials,0.207
64,VGWAX,Health Care,0.156
65,VGWAX,Industrials,0.131
66,VGWAX,Information Technology,0.147
67,VGWAX,Materials,0.027
68,VGWAX,Real Estate,0.026
69,VGWAX,Utilities,0.065
70,VTSIX,Communication Services,0.03
71,VTSIX,Consumer Discretionary,0.14
72,VTSIX,Consumer Staples,0.051
73,VTSIX,Energy,0.054
74,VTSIX,Financials,0.182
75,VTSIX,Health Care,0.102
76,VTSIX,Industrials,0.173
77,VTSIX,Information Technology,0.12
78,VTSIX,Materials,0.051
79,VTSIX,Real Estate,0.077
80,VTSIX,Utilities,0.02
81,VWELX,Communication Services,0.084
82,VWELX,Consumer Discretionary,0.105
83,VWELX,Consumer Staples,0.061
84,VWELX,Energy,0.076
85,VWELX,Financials,0.123
86,VWELX,Health Care,0.166
87,VWELX,Industrials,0.085
88,VWELX,Information Technology,0.222
89,VWELX,Materials,0.028
90,VWELX,Real Estate,0.015
91,VWELX,Utilities,0.035
92,VDADX,Communication Services,0.013
93,VDADX,Consumer Discretionary,0.068
94,VDADX,Consumer Staples,0.123
95,VDADX,Energy,0.032
96,VDADX,Financials,0.183
97,VDADX,Health Care,0.155
98,VDADX,Industrials,0.13
99,VDADX,Information Technology,0.224
100,VDADX,Materials,0.044
101,VDADX,Utilities,0.028
102,VWNDX,Communication Services,0.054
103,VWNDX,Consumer Discretionary,0.077
