,symbol,category,product_summary,asset_class,risk_level,region,sector
0,VTMSX,Small Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to small-capitalization stocks. Its unique, index-oriented approach attempts to track the benchmark, while keeping taxable gains to a minimum. One of the fund’s risks is its focus on small-cap companies, which can be a volatile segment of the market. Investors in higher tax brackets who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
1,VCORX,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure predominantly to the U.S. investment-grade bond market. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities of varying yields and maturities (short-, intermediate-, and long-term issues). Using a disciplined, risk-controlled approach, the fund seeks to outperform the broad investment-grade market through security selection, sector allocation, and, to a lesser extent, duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. Since the fund invests in all major segments and maturities of the investment-grade fixed income market, investors may consider the fund as a core bond holding.",Fixed Income,2,['North America'],
2,VWILX,Foreign Large Growth,"The International Growth Fund focuses on non-U.S. companies with high growth potential. Created in 1981, the fund employs an aggressive approach that attempts to capitalize on global economic expansion. For example, an attractive investment opportunity could be a non-U.S. consumer-products company that is experiencing rapid earnings growth. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be more volatile than a domestic fund. Investors may wish to consider investing in this fund as a complement to an already diversified stock portfolio.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
3,VTWV,Small Value,"Invests in stocks in the Russell 2000 Value Index, a broadly diversified index predominantly made up of value stocks of small U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of small-cap value U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
4,VCDAX,Consumer Discretionary,"This low-cost index fund offers exposure to the consumer discretionary sector of the U.S. equity market, which includes stocks of companies that manufacture products and provide services that consumers consider nonessential, such as retailers, restaurants, and internet and direct marketing retail companies. The fund’s main risk is its narrow scope—it invests solely in consumer discretionary stocks, which tend to be sensitive to economic cycles. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Equity,5,['North America'],"['Apparel Retail', 'Apparel, Accessories & Luxury Goods', 'Automobile Manufacturers', 'Automotive Parts & Equipment', 'Automotive Retail', 'Broadline Retail', 'Casinos & Gaming', 'Computer & Electronics Retail', 'Consumer Electronics', 'Distributors', 'Education Services', 'Footwear', 'Home Furnishings', 'Home Improvement Retail', 'Homebuilding', 'Homefurnishing Retail', 'Hotels, Resorts & Cruise Lines', 'Household Appliances', 'Housewares & Specialties', 'Leisure Facilities', 'Leisure Products', 'Motorcycle Manufacturers', 'Other Specialty Retail', 'Restaurants', 'Specialized Consumer Services', 'Tires & Rubber']"
5,VMLTX,Muni National Short,"This low-cost municipal bond fund seeks to provide income exempt from federal taxes and typically appeals to investors in higher tax brackets. The fund holds high-quality short-term municipal bonds with an average duration of approximately 2 years, a bit longer than the Short-Term Tax-Exempt Fund. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a modest level of federal tax-exempt interest income and can tolerate some income and share price risk may wish to consider this fund.",Fixed Income,1,['North America'],
6,VTSIX,Small Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to small-capitalization stocks. Its unique, index-oriented approach attempts to track the benchmark, while keeping taxable gains to a minimum. One of the fund’s risks is its focus on small-cap companies, which can be a volatile segment of the market. Investors in higher tax brackets who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
7,VGLT,Long Government,Seeks to provide a high and sustainable level of current income.Invests primarily in U.S. Treasury bonds.Maintains a dollar-weighted average maturity of 10 to 25 years.,Fixed Income,3,['North America'],
8,VCIT,Intermediate-Term Bond,"Seeks to provide a moderate and sustainable level of current income.Invests primarily in high-quality (investment-grade) corporate bonds.Moderate interest rate risk, with a dollar-weighted average maturity of 5 to 10 years.",Fixed Income,2,['North America'],
9,VDADX,Large Blend,"This low-cost index fund seeks to track a benchmark that provides exposure to U.S. companies that have a history of increasing dividends. The fund focuses on high-quality companies that have both the ability and the commitment to grow their dividends over time. One of the fund’s risks is the possibility that returns from dividend-paying stocks will trail returns from the overall stock market during any given period. Another risk is the volatility that comes with the fund’s full exposure to the stock market. An investor with a well-balanced, long-term portfolio who seeks some income and exposure to dividend-focused companies may wish to consider this fund.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Utilities']"
10,VWNDX,Large Value,"Since its 1958 inception, this aggressive large-capitalization value fund has held fast to its distinctive strategy. Throughout its history, the fund has sought to be ahead of the market, investing in stocks that are temporarily out of favor, but that the fund’s advisors believe will eventually become profitable investments. This approach can lead to greater short-term volatility because it may take time for the market to recognize a stock’s value. Investors in this fund should have a long-term time horizon and a tolerance for stock market volatility.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
11,VCEB,Intermediate-Term Bond,"Important note: The Index excludes the bonds of companies that the Index provider determines engage in (which may include manufacturing, owning, and operating), have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) production, distribution, and retail of adult entertainment materials; (ii) production, distribution, retail, and supply of alcohol related products; (iii) involvement in certain gambling related business activities; (iv) production, distribution, retail, supply, and licensing of, tobacco related products; (v) manufacture of nuclear weapons or key nuclear weapons components; (vi) manufacture of biological and chemical weapons or key biological and chemical weapons components; cluster munitions whole weapons systems, components, or delivery platforms; landmines whole systems or components; or involvement in the production of depleted uranium (DU) weapons, ammunition, and armor; (vii) production of conventional weapons and components or involvement with conventional weapons support systems and services; (viii) production and/or distribution (wholesale or retail) of firearms or small arms ammunition intended for civilian use (companies that cater to the military, government, and law enforcement markets are not included in the foregoing); (ix) ownership or operation of nuclear power plants or active uranium mines; involvement in uranium enrichment and processing; involvement in the design and engineering of nuclear power reactors; or supplying nuclear power activities; and (x) have an industry tie to fossil fuels (thermal coal, oil and gas), in particular, reserve ownership, related revenues and power generation (companies providing evidence of owning metallurgical coal reserves are not included in the foregoing). The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by the Index provider can vary from one activity or business segment to another. In addition, the Index methodology excludes the bonds of companies that, as determined by the Index provider, do not meet certain standards defined by the Index provider with respect to an ESG controversies assessment or do not have an ESG controversy assessment score. The ESG controversies assessment measures a company’s involvement in major ESG controversies and how well they adhere to international norms and principles. Where MSCI, the Index provider’s data source, has insufficient or no data available to adequately assess a particular issuer relative to the ESG criteria of the Index, bonds of such issuer may be excluded from the Index until such time as they may be determined to be eligible by MSCI. Additionally, the Index excludes bonds of companies that fail to have at least one woman on their board of directors and companies for which the Index provider does not have board diversity data. The screens for ESG criteria described above do not apply to government-issued bonds (e.g., U.S. Treasury securities), asset-backed securities, mortgage-backed securities, and commercial mortgage-backed securities.",Fixed Income,2,['North America'],
12,VBILX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Fixed Income,2,['North America'],
13,VFMV,Equity,"Advisor uses a rules-based quantitative model to evaluate U.S. common stocks.Fund invests in stocks that together have the potential to generate lower volatility than the broad U.S. equity market. The portfolio includes a diverse mix of stocks representing many different market capitalizations (large, mid, and small), market sectors, and industry groups. Seeks long-term capital appreciation.Typically, at least 80% of the fund’s assets will be invested in securities issued by U.S. companies.",Equity,4,['North America'],"['Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
14,VEXRX,Small Growth,"This fund seeks to identify small and midsize companies with growth potential. Because it focuses on small and mid-size companies, the fund tends to be more unpredictable than stock funds that focus on larger companies. However, the fund’s use of multiple advisors with diverse strategies, and its broad exposure to more than 500 stocks, can help reduce—but not eliminate—risk that may come from investing in this often-volatile segment of the market. This fund may be considered complementary to a well-diversified, long-term portfolio.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
15,VTCLX,Large Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to the mid- and large-capitalization segments of the U.S. stock market. Its unique index-oriented approach attempts to track the benchmark, while minimizing taxable gains and dividend income by purchasing index securities that pay lower dividends. One of the fund’s risks is its exposure to the mid-cap segment of the stock market, which tends to be more volatile than the large-cap market. Investors in a higher tax bracket who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
16,VCPAX,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure primarily to the U.S. investment-grade bond market, with selective exposure to below-investment-grade bonds and debt from other countries, including emerging markets. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities, and emerging markets debt of varying yields, maturities, and credit qualities. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a moderate allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a core bond holding.",Fixed Income,2,['North America'],
17,VGCAX,World Bond,"This fund seeks to provide a moderate and sustainable level of current income by investing in a diversified portfolio of global credit bonds. The fund is actively managed and invests primarily in investment-grade corporate and non-corporate obligations, excluding government-guaranteed issues. The portfolio invests in U.S. and non-U.S. securities including developed and emerging markets. The majority of non-U.S. exposure will be hedged to the U.S. dollar. This hedging enables investors to pursue a globally-diversified credit premium without adding currency risk. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may lead the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Fixed Income,2,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
18,VSPMX,Mid Blend,"Invests in stocks in the S&P MidCap 400 Index, representing 400 medium-size U.S. companies.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. mid-cap stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
19,VSPVX,Large Value,"Invests in stocks in the Standard & Poor’s 500 Value Index, composed of the value companies in the S&P 500.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. value stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
20,VFIDX,Intermediate-Term Bond,"This fund provides diversified exposure to medium- and high-quality investment-grade bonds with an average maturity of five to ten years. Reflecting this goal, the fund invests in corporate bonds, pooled consumer loans, and U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Because the fund invests in only one maturity segment of the fixed income market, it may be considered complementary to a core bond holding in an investment portfolio.",Fixed Income,2,['North America'],
21,VSMAX,Small Blend,"This low-cost index fund provides broad exposure to the small-capitalization U.S. equity market. The fund seeks to track an index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a small-cap equity allocation to an already diversified portfolio may wish to consider this option.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
22,VNJTX,Muni New Jersey,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and New Jersey personal income taxes. The fund is intended for New Jersey residents only. It invests primarily in high-quality municipal bonds issued by New Jersey state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and New Jersey state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and New Jersey state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
23,VMNIX,Long-Short,"This fund has a unique and complex investment approach, compared with other Vanguard funds. Its goal is to “neutralize,” or limit, the effect of stock market movement on returns. Because of this, the fund’s return is often uncorrelated to that of the stock market. Unlike other Vanguard funds, this fund uses long- and short-selling strategies, which involve specific risks not apparent in traditional mutual funds. The fund may be appropriate for a small portion of an already well-diversified portfolio.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
24,VICSX,Intermediate-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities between 5 and 10 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
25,BNDX,World Bond,"Seeks to track the performance of the Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged).Employs hedging strategies that seek to mitigate uncertainty in exchange rates.Passively managed, using index sampling.Fund remains fully invested.Broad exposure across major bond markets outside of the United States.Low expenses minimize net tracking error.",Fixed Income,2,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
